CompanyID,RefNbr,EmployeeID,DepartmentID,LocationID,DocDate,DocDesc,CuryDocBal,DocBal,CuryTaxTotal,TaxTotal,ApprovalStatus,ClaimDetailID,CuryID,ExpenseDate,CuryUnitCost,CuryTranAmt,CuryTranAmtWithTaxes,TranDesc,ClaimCuryTranAmt,ClaimTranAmt,ClaimCuryVatTaxableTotal,ClaimVatTaxableTotal,CuryTaxableAmt,TaxableAmt,CuryTaxableAmtFromTax,TaxableAmtFromTax,CuryTaxAmt,TaxAmt,ExpenseAccountID,ExpenseSubID,SubmitedDate,EmployeeID,Status,TaxTotal,IsFraud
667000164,1,3797,1,4052,2019-08-12 0:00:00,Travel to Bergen,1250,1250,250,250,7,1,NOK,2019-08-12 0:00:00,1250,1250,1250,Hotel bla de bla,1250,1250,1000,1000,1250,1250,1000,1000,250,250,14404,2,2019-08-12 11:16:39,3797,R,250,0
667000164,2,3797,1,4052,2019-08-12 0:00:00,"Kurs Stavanger, Trondheim",3500,3500,456.52,456.52,7,2,NOK,2019-08-12 0:00:00,2000,2000,2000,Kurs,2000,2000,1739.13,1739.13,2000,2000,1739.13,1739.13,260.87,260.87,14404,2,2019-08-12 11:51:23,3797,R,260.87,0
667000164,2,3797,1,4052,2019-08-12 0:00:00,"Kurs Stavanger, Trondheim",3500,3500,456.52,456.52,7,3,NOK,2019-08-12 0:00:00,1500,1500,1500,OSL-Stavanger,1500,1500,1304.35,1304.35,1500,1500,1304.35,1304.35,195.65,195.65,14404,1,2019-08-12 11:51:23,3797,R,195.65,0
667000164,3,3797,1,4052,2019-08-12 0:00:00,Test subaccount,2750,2750,358.69,358.69,7,4,NOK,2019-08-12 0:00:00,1500,1500,1500,flight 2,1500,1500,1304.35,1304.35,1500,1500,1304.35,1304.35,195.65,195.65,14404,1023,2019-08-12 12:02:42,3797,R,195.65,0
667000164,3,3797,1,4052,2019-08-12 0:00:00,Test subaccount,2750,2750,358.69,358.69,7,5,NOK,2019-08-12 0:00:00,1250,1250,1250,flight 1,1250,1250,1086.96,1086.96,1250,1250,1086.96,1086.96,163.04,163.04,14404,3,2019-08-12 12:02:42,3797,R,163.04,0
667000164,4,3797,1,4052,2019-08-12 0:00:00,fwewe,1000,1000,130.43,130.43,7,6,NOK,2019-08-12 0:00:00,1000,1000,1000,ewfwefwef,1000,1000,869.57,869.57,1000,1000,869.57,869.57,130.43,130.43,14404,1,2019-08-12 13:31:19,3797,R,130.43,0
667000164,5,3797,1,4052,2019-08-14 0:00:00,Oles expense,150,150,30,30,7,7,NOK,2019-08-14 0:00:00,150,150,150,Hotel,150,150,120,120,150,150,120,120,30,30,14404,13,2019-08-14 8:08:31,3797,R,30,0
667000164,6,3797,5,4052,2019-08-16 0:00:00,Remco test,1400,1400,280,280,7,8,NOK,2019-08-16 0:00:00,1400,1400,1400,hotel,1400,1400,1120,1120,1400,1400,1120,1120,280,280,14404,1094,2019-08-16 13:12:21,3797,R,280,1
667000164,7,2468,2,2725,2019-08-26 0:00:00,Utlegg,994,994,0,0,7,9,NOK,2019-08-26 0:00:00,50,50,50,jioj,50,50,0,0,50,50,0,0,0,0,14404,7,2019-08-26 20:38:02,2468,R,0,0
667000164,7,2468,2,2725,2019-08-26 0:00:00,Utlegg,994,994,0,0,7,10,NOK,2019-08-26 0:00:00,944,944,944,Fredrikstad,944,944,0,0,944,944,0,0,0,0,14404,8,2019-08-26 20:38:02,2468,R,0,0
